Method,Cluster,NumTraces,Precision,Fitness,FScore,VariabilityRatio,Miner
HDBSCAN-TFIDF,Cluster 629,3,0.04437609841827772,1.0,0.08498106857383264,1.0,inductive
HDBSCAN-TFIDF,Cluster 630,2,0.46376811594202894,1.0,0.6336633663366337,1.0,inductive
HDBSCAN-TFIDF,Cluster 631,2,0.9705882352941176,1.0,0.9850746268656716,0.5,inductive
HDBSCAN-TFIDF,Cluster 632,8,0.06266666666666665,0.970792904047829,0.1177334015655215,1.0,inductive
HDBSCAN-TFIDF,Cluster 633,4,0.0969985358711567,1.0,0.17684351017684358,1.0,inductive
HDBSCAN-TFIDF,Cluster 634,5,0.2242547425474255,1.0,0.36635307138904266,0.8,inductive
HDBSCAN-TFIDF,Cluster 635,3,0.6041666666666667,1.0,0.7532467532467533,0.6666666666666666,inductive
HDBSCAN-TFIDF,Cluster 636,4,0.04114464692482911,0.9143207790117496,0.07874571827985792,1.0,inductive
HDBSCAN-TFIDF,Cluster 637,3,0.082675529705027,1.0,0.15272448196469685,1.0,inductive
HDBSCAN-TFIDF,Cluster 638,2,0.22591943957968474,1.0,0.3685714285714285,1.0,inductive
HDBSCAN-TFIDF,Cluster 639,6,0.6,0.9921104536489151,0.7477700693756193,1.0,inductive
HDBSCAN-TFIDF,Cluster 640,11,0.5816164817749604,0.9989406779661016,0.7351842469470973,0.8181818181818182,inductive
HDBSCAN-TFIDF,Cluster 641,6,0.0357212570759321,0.9972565157750343,0.06897197075660196,1.0,inductive
HDBSCAN-TFIDF,Cluster 642,3,0.8163265306122449,1.0,0.898876404494382,1.0,inductive
HDBSCAN-TFIDF,Cluster 643,4,0.672093023255814,1.0,0.803894297635605,1.0,inductive
HDBSCAN-TFIDF,Cluster 644,3,0.0719215401380312,1.0,0.1341917993900372,1.0,inductive
HDBSCAN-TFIDF,Cluster 645,14,0.10842463165848126,0.9905797101449275,0.19545553391460818,1.0,inductive
HDBSCAN-TFIDF,Cluster 646,5,0.06200561367695845,0.9923195084485407,0.11671803847550835,1.0,inductive
HDBSCAN-TFIDF,Cluster 647,4,0.21632653061224494,1.0,0.3557046979865773,1.0,inductive
HDBSCAN-TFIDF,Cluster 648,4,0.2253164556962025,1.0,0.3677685950413223,1.0,inductive
HDBSCAN-TFIDF,Cluster 649,4,0.3363329583802025,1.0,0.5033670033670035,1.0,inductive
HDBSCAN-TFIDF,Cluster 650,6,0.03868109397631425,1.0,0.07448117463702737,1.0,inductive
HDBSCAN-TFIDF,Cluster 651,3,0.9514563106796117,1.0,0.9751243781094527,0.6666666666666666,inductive
HDBSCAN-TFIDF,Cluster 652,4,0.06185318892900116,0.99671532496449,0.11647809375456705,1.0,inductive
HDBSCAN-TFIDF,Cluster 653,5,0.3486410496719775,1.0,0.5170257123002086,1.0,inductive
HDBSCAN-TFIDF,Cluster 654,3,0.577023498694517,1.0,0.7317880794701987,1.0,inductive
HDBSCAN-TFIDF,Cluster 655,9,0.06231276213301373,0.9924021672202785,0.11726262417504957,1.0,inductive
HDBSCAN-TFIDF,Cluster 656,2,0.07355418304323413,1.0,0.13702928870292888,1.0,inductive
HDBSCAN-TFIDF,Cluster 657,3,0.5527638190954773,1.0,0.7119741100323624,1.0,inductive
HDBSCAN-TFIDF,Cluster 658,3,0.06589403973509933,1.0,0.1236408822615719,1.0,inductive
HDBSCAN-TFIDF,Cluster 659,4,0.06307366439162154,1.0,0.11866282931148991,1.0,inductive
HDBSCAN-TFIDF,Cluster 660,3,0.06516705259675815,1.0,0.12236024844720489,1.0,inductive
HDBSCAN-TFIDF,Cluster 661,4,0.06405607928450563,1.0,0.12039981826442518,1.0,inductive
HDBSCAN-TFIDF,Cluster 662,3,0.8755555555555555,1.0,0.933649289099526,1.0,inductive
HDBSCAN-TFIDF,Cluster 663,5,0.5511811023622047,1.0,0.7106598984771574,1.0,inductive
