encoder,algorithm,k,silhouette,ch,db
TFIDF_SVD,KMeans,6,0.2769493404633318,1437.022868356401,1.4524282814047107
TFIDF_SVD,SOM,5,0.24258320173524237,1202.8633978368453,1.7562786503634478
TFIDF_SVD,HDBSCAN,811,-0.20066558819105212,10.27338211628184,1.213348956399327
DOC2VEC,KMeans,2,0.08815010637044907,651.4652099609375,3.0475740667231603
DOC2VEC,SOM,2,0.08282721042633057,624.5673828125,3.0440567057456964
DOC2VEC,HDBSCAN,8,0.12995488941669464,13.71485424041748,2.8495064552081026
